image_path,text_label,caption,binary_target,font
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_0.png,asshole,An image containing toxic text,1,3-d
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_1.png,asshole,An image containing toxic text,1,3d_diagonal
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_2.png,asshole,An image containing toxic text,1,3x5
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_3.png,asshole,An image containing toxic text,1,4max
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_4.png,asshole,An image containing toxic text,1,5lineoblique
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_5.png,asshole,An image containing toxic text,1,5x7
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_6.png,asshole,An image containing toxic text,1,6x10
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_7.png,asshole,An image containing toxic text,1,6x9
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_8.png,asshole,An image containing toxic text,1,acrobatic
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_9.png,asshole,An image containing toxic text,1,alligator
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_10.png,asshole,An image containing toxic text,1,alligator2
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_11.png,asshole,An image containing toxic text,1,alpha
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_12.png,asshole,An image containing toxic text,1,arrows
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_13.png,asshole,An image containing toxic text,1,avatar
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_14.png,asshole,An image containing toxic text,1,banner
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_15.png,asshole,An image containing toxic text,1,banner3
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_16.png,asshole,An image containing toxic text,1,banner3-d
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_17.png,asshole,An image containing toxic text,1,banner4
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_18.png,asshole,An image containing toxic text,1,barbwire
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_19.png,asshole,An image containing toxic text,1,basic
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_20.png,asshole,An image containing toxic text,1,bell
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_21.png,asshole,An image containing toxic text,1,big
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_22.png,asshole,An image containing toxic text,1,bigchief
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_23.png,asshole,An image containing toxic text,1,bigfig
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_24.png,asshole,An image containing toxic text,1,block
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_25.png,asshole,An image containing toxic text,1,bolger
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_26.png,asshole,An image containing toxic text,1,braced
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_27.png,asshole,An image containing toxic text,1,bright
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_28.png,asshole,An image containing toxic text,1,broadway
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_29.png,asshole,An image containing toxic text,1,bulbhead
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_30.png,asshole,An image containing toxic text,1,caligraphy
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_31.png,asshole,An image containing toxic text,1,catwalk
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_32.png,asshole,An image containing toxic text,1,charact1
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_33.png,asshole,An image containing toxic text,1,charact2
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_34.png,asshole,An image containing toxic text,1,charact3
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_35.png,asshole,An image containing toxic text,1,charact4
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_36.png,asshole,An image containing toxic text,1,charact5
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_37.png,asshole,An image containing toxic text,1,charact6
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_38.png,asshole,An image containing toxic text,1,characte
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_39.png,asshole,An image containing toxic text,1,chartri
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_40.png,asshole,An image containing toxic text,1,chiseled
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_41.png,asshole,An image containing toxic text,1,chunky
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_42.png,asshole,An image containing toxic text,1,clb6x10
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_43.png,asshole,An image containing toxic text,1,clb8x10
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_44.png,asshole,An image containing toxic text,1,clb8x8
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_45.png,asshole,An image containing toxic text,1,cli8x8
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_46.png,asshole,An image containing toxic text,1,clr4x6
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_47.png,asshole,An image containing toxic text,1,clr5x10
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_48.png,asshole,An image containing toxic text,1,clr5x6
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_49.png,asshole,An image containing toxic text,1,clr5x8
d:\repos\2025-02\pfc25-02\data\dataset\imgs\img_50.png,asshole,An image containing toxic text,1,clr6x10
